"","record","prediction"
"30822","SL1306","SL1308"
"30824","SL1320","Unpredictable"
"30836","SL1239","SL1305"
"30852","SL1309","Takanari"
"30855","Koshihikari","SL1339"
"30858","SL1221","Koshihikari"
"30885","Koshihikari","Unpredictable"
"30890","SL1301","Takanari"
"30891","SL1209","Unpredictable"
"30904","SL1309","Takanari"
"30918","SL1322","SL1205"
"30922","SL1221","Koshihikari"
"30942","SL1309","Takanari"
"30953","SL1309","Takanari"
"30961","SL1332","SL1223"
"30965","SL1223","SL1332"
"30971","SL1314","SL1325"
"30972","SL1325","SL1314"
"30974","SL1339","SL1338"
"30975","SL1211","Koshihikari"
"30984","SL1328","SL1329"
"30989","SL1221","Koshihikari"
"30994","SL1320","Unpredictable"
"30995","SL1221","Koshihikari"
"30996","SL1213","SL1210"
"31000","SL1221","Koshihikari"
"31002","SL1213","SL1210"
"31010","SL1203","SL1202"
"31011","SL1333","Unpredictable"
"31020","SL1323","Takanari"
"31027","SL1222","SL1319"
"31037","SL1213","SL1210"
"31042","Koshihikari","Unpredictable"
"31046","SL1324","Unpredictable"
"31052","SL1326","Unpredictable"
"31066","SL1317","SL1316"
"31072","SL1203","SL1234"
"31073","SL1305","SL1304"
"31078","SL1306","SL1330"
"31080","SL1306","SL1305"
"31086","SL1234","SL1235"
"31089","SL1220","SL1230"
"31090","SL1324","Unpredictable"
"31098","SL1306","SL1308"
"31101","SL1323","Takanari"
